name,value,date
中国大陆地区,85997,2020年11月01日
中国大陆地区,86021,2020年11月02日
中国大陆地区,86070,2020年11月03日
中国大陆地区,86087,2020年11月04日
中国大陆地区,86115,2020年11月05日
中国大陆地区,86151,2020年11月06日
中国大陆地区,86184,2020年11月07日
中国大陆地区,86212,2020年11月08日
中国大陆地区,86245,2020年11月09日
中国大陆地区,86267,2020年11月10日
中国大陆地区,86284,2020年11月11日
中国大陆地区,86299,2020年11月12日
中国大陆地区,86307,2020年11月13日
中国大陆地区,86325,2020年11月14日
中国大陆地区,86338,2020年11月15日
中国大陆地区,86346,2020年11月16日
中国大陆地区,86361,2020年11月17日
中国大陆地区,86369,2020年11月18日
中国大陆地区,86381,2020年11月19日
中国大陆地区,86398,2020年11月20日
中国大陆地区,86414,2020年11月21日
中国大陆地区,86431,2020年11月22日
中国大陆地区,86442,2020年11月23日
中国大陆地区,86464,2020年11月24日
中国大陆地区,86469,2020年11月25日
中国大陆地区,86490,2020年11月26日
中国大陆地区,86495,2020年11月27日
中国大陆地区,86501,2020年11月28日
中国大陆地区,86512,2020年11月29日
中国大陆地区,86530,2020年11月30日
中国大陆地区,86542,2020年12月01日
中国大陆地区,86551,2020年12月02日
中国大陆地区,86567,2020年12月03日
中国大陆地区,86584,2020年12月04日
中国大陆地区,86601,2020年12月05日
中国大陆地区,86619,2020年12月06日
中国大陆地区,86634,2020年12月07日
中国大陆地区,86646,2020年12月08日
中国大陆地区,86661,2020年12月09日
中国大陆地区,86673,2020年12月10日
中国大陆地区,86688,2020年12月11日
中国大陆地区,86701,2020年12月12日
中国大陆地区,86725,2020年12月13日
中国大陆地区,86741,2020年12月14日
中国大陆地区,86758,2020年12月15日
中国大陆地区,86770,2020年12月16日
中国大陆地区,86777,2020年12月17日
中国大陆地区,86789,2020年12月18日
中国大陆地区,86806,2020年12月19日
中国大陆地区,86829,2020年12月20日
中国大陆地区,86852,2020年12月21日
中国大陆地区,86867,2020年12月22日
中国大陆地区,86882,2020年12月23日
中国大陆地区,86899,2020年12月24日
中国大陆地区,86913,2020年12月25日
中国大陆地区,86933,2020年12月26日
中国大陆地区,86955,2020年12月27日
中国大陆地区,86976,2020年12月28日
中国大陆地区,87003,2020年12月29日
中国大陆地区,87027,2020年12月30日
中国大陆地区,87052,2020年12月31日
中国大陆地区,87071,2021年01月01日
中国大陆地区,87093,2021年01月02日
中国大陆地区,87117,2021年01月03日
中国大陆地区,87150,2021年01月04日
中国大陆地区,87183,2021年01月05日
中国大陆地区,87215,2021年01月06日
中国大陆地区,87278,2021年01月07日
中国大陆地区,87331,2021年01月08日
中国大陆地区,87364,2021年01月09日
中国大陆地区,87433,2021年01月10日
中国大陆地区,87536,2021年01月11日
中国大陆地区,87591,2021年01月12日
中国大陆地区,87706,2021年01月13日
中国大陆地区,87844,2021年01月14日
中国大陆地区,87988,2021年01月15日
中国大陆地区,88118,2021年01月16日
中国大陆地区,88227,2021年01月17日
中国大陆地区,88336,2021年01月18日
中国大陆地区,88454,2021年01月19日
中国大陆地区,88557,2021年01月20日
中国大陆地区,88701,2021年01月21日
中国大陆地区,88804,2021年01月22日
中国大陆地区,88911,2021年01月23日
中国大陆地区,88991,2021年01月24日
中国大陆地区,89115,2021年01月25日
中国大陆地区,89197,2021年01月26日
中国大陆地区,89272,2021年01月27日
中国大陆地区,89326,2021年01月28日
中国大陆地区,89378,2021年01月29日
中国大陆地区,89430,2021年01月30日
中国大陆地区,89522,2021年01月31日
中国大陆地区,89564,2021年02月01日
中国大陆地区,89594,2021年02月02日
中国大陆地区,89619,2021年02月03日
中国大陆地区,89649,2021年02月04日
中国大陆地区,89669,2021年02月05日
中国大陆地区,89681,2021年02月06日
中国大陆地区,89692,2021年02月07日
中国大陆地区,89706,2021年02月08日
中国大陆地区,89720,2021年02月09日
